Ticker,Volatility_avg
BTC,0.108
ETH,0.134
ETC,0.086
XRP,0.084
BCH,0.101
QTUM,0.123
BTG,0.124
EOS,0.115
ICX,0.091
TRX,0.048
ELF,0.067
KNC,0.122
GLM,0.055
ZIL,0.049
WAXP,0.161
POWR,0.082
LRC,업비트 비상장
STEEM,0.071
ZRX,0.048
SNT,0.052
ADA,0.097
CTXC,업비트 비상장
BAT,0.087
THETA,0.102
LOOM,0.039
CVC,0.157
WAVES,0.083
LINK,0.137
ENJ,업비트 비상장
VET,0.127
MTL,0.112
IOST,0.031
AMO,업비트 비상장
BSV,0.13
ORBS,0.08
TFUEL,0.14
VALOR,업비트 비상장
ANKR,0.059
MIX,업비트 비상장
CRO,0.037
FX,업비트 비상장
CHR,업비트 비상장
MBL,-0.042
MXC,업비트 비상장
FCT2,-0.192
WOM,업비트 비상장
BOA,업비트 비상장
MEV,업비트 비상장
SXP,0.132
COS,업비트 비상장
EL,업비트 비상장
HIVE,0.01
XPR,업비트 비상장
FIT,업비트 비상장
EGG,업비트 비상장
BORA,-0.161
ARPA,업비트 비상장
CTC,-5.074
APM,업비트 비상장
CKB,업비트 비상장
AERGO,0.057
EVZ,업비트 비상장
QTCON,업비트 비상장
UNI,업비트 비상장
YFI,업비트 비상장
UMA,업비트 비상장
AAVE,0.078
COMP,업비트 비상장
BAL,업비트 비상장
RSR,업비트 비상장
NMR,업비트 비상장
RLC,업비트 비상장
UOS,업비트 비상장
SAND,0.104
STPT,0.158
BEL,업비트 비상장
OBSR,업비트 비상장
POLA,업비트 비상장
ADP,업비트 비상장
DVI,업비트 비상장
GHX,업비트 비상장
MVC,업비트 비상장
BLY,업비트 비상장
GRT,0.115
BIOT,업비트 비상장
SNX,업비트 비상장
SOFI,업비트 비상장
GRACY,업비트 비상장
OXT,업비트 비상장
MAP,업비트 비상장
AQT,0.118
WIKEN,업비트 비상장
CTSI,업비트 비상장
MANA,0.117
LPT,업비트 비상장
MKR,업비트 비상장
SUSHI,업비트 비상장
ASM,업비트 비상장
PUNDIX,0.125
CELR,업비트 비상장
FRONT,업비트 비상장
RLY,업비트 비상장
OCEAN,업비트 비상장
BFC,업비트 비상장
ALICE,업비트 비상장
OGN,업비트 비상장
COTI,업비트 비상장
CAKE,업비트 비상장
BNT,업비트 비상장
XVS,업비트 비상장
SWAP,업비트 비상장
CHZ,0.162
AXS,0.037
DAO,업비트 비상장
SIX,업비트 비상장
DAI,업비트 비상장
SHIB,0.094
MATIC,0.114
WOO,업비트 비상장
ACH,업비트 비상장
XLM,0.009
ONT,0.081
META,0.146
KLAY,업비트 비상장
ONG,-0.016
ALGO,0.082
JST,0.108
XTZ,0.046
MLK,0.172
DOT,0.13
ATOM,0.098
TEMCO,업비트 비상장
DOGE,0.068
KSM,업비트 비상장
CTK,업비트 비상장
BNB,업비트 비상장
NFT,업비트 비상장
SUN,업비트 비상장
XEC,0.068
AGIX,업비트 비상장
SOL,0.098
FNSA,업비트 비상장
EGLD,0.133
MASK,0.063
C98,업비트 비상장
MED,0.132
1INCH,0.052
CRV,업비트 비상장
BOBA,업비트 비상장
DYDX,업비트 비상장
MINA,0.136
FLOW,0.09
JOE,업비트 비상장
GALA,업비트 비상장
ENS,0.041
BTT,-3.737
JASMY,업비트 비상장
REQ,업비트 비상장
CSPR,업비트 비상장
AVAX,0.097
TDROP,업비트 비상장
HBAR,0.039
FANC,업비트 비상장
NPT,업비트 비상장
REI,업비트 비상장
T,0.102
MBX,업비트 비상장
GMT,0.011
TAVA,업비트 비상장
DAR,업비트 비상장
APE,업비트 비상장
WNCG,업비트 비상장
AL,업비트 비상장
XCN,업비트 비상장
AZIT,업비트 비상장
FLR,업비트 비상장
SFP,업비트 비상장
FITFI,업비트 비상장
STAT,업비트 비상장
CRTS,업비트 비상장
VIX,업비트 비상장
LBL,업비트 비상장
FLZ,업비트 비상장
LM,업비트 비상장
GRND,업비트 비상장
APT,0.138
BLUR,0.08
WEMIX,업비트 비상장
OAS,업비트 비상장
HOOK,업비트 비상장
XENT,업비트 비상장
LWA,업비트 비상장
OP,업비트 비상장
ROA,업비트 비상장
GMX,업비트 비상장
STX,0.117
XPLA,업비트 비상장
ARB,0.129
INJ,업비트 비상장
HFT,업비트 비상장
RPL,업비트 비상장
IMX,0.144
CFX,업비트 비상장
ACS,업비트 비상장
FXS,업비트 비상장
CELO,0.134
LDO,업비트 비상장
FTM,업비트 비상장
FET,업비트 비상장
SUI,0.118
NCT,업비트 비상장
FLOKI,업비트 비상장
ALEX,업비트 비상장
ID,0.13
RNDR,업비트 비상장
STG,0.13
OSMO,업비트 비상장
GAL,업비트 비상장
ILV,업비트 비상장
MAV,업비트 비상장
RSS3,업비트 비상장
AUDIO,업비트 비상장
AGI,업비트 비상장
RDNT,업비트 비상장
ASTR,0.149
WLD,업비트 비상장
FLUX,업비트 비상장
AR,업비트 비상장
RVN,업비트 비상장
LEVER,업비트 비상장
EDU,업비트 비상장
SEI,0.094
WAXL,업비트 비상장
MOC,0.165
PEPE,업비트 비상장
CYBER,업비트 비상장
ARKM,업비트 비상장
PYR,업비트 비상장
IOTX,업비트 비상장
HIGH,업비트 비상장
PENDLE,업비트 비상장
STORJ,0.124
API3,업비트 비상장
ZTX,업비트 비상장
MNT,0.131
GTC,업비트 비상장
TIA,업비트 비상장
ICP,업비트 비상장
SPURS,업비트 비상장
NEO,0.106
GAS,0.092
HIFI,0.026
BIGTIME,업비트 비상장
ZETA,0.069
GRS,0.06
ARK,0.076
YGG,업비트 비상장
HUNT,-0.043
KAVA,0.034
STMX,0.048
MAGIC,업비트 비상장
USDT,0.12
USDC,업비트 비상장
RAD,업비트 비상장
LSK,0.161
TT,0.105
ACE,업비트 비상장
IQ,-0.099
PYTH,0.073
MANTA,업비트 비상장
AKT,0.098
JUP,0.087
STRK,업비트 비상장
SC,-6.032
BONK,업비트 비상장
AIOZ,업비트 비상장
ZK,업비트 비상장
ONDO,0.102
NEAR,0.115
STRAX,0.119
XAI,업비트 비상장
W,업비트 비상장
ZBCN,업비트 비상장
CORE,업비트 비상장
MEW,업비트 비상장
ZRO,0.106
BLAST,0.068
TAIKO,0.489
BRETT,업비트 비상장
